N TIME
58162 1832566
31599 1171720
59394 964508
39072 2733809
62507 2598052
36768 1725470
40046 532722
44742 3384418
23721 22899
32056 5705
6156 28640
3099 148261
45874 1084793
45118 3127473
36859 2823743
54254 3021246
37731 2612021
24040 1129908
12333 862310
12570 604562
61066 2654790
19122 179710
17492 122164
5381 100842
12111 39171
12629 32814
41096 1343483
31949 426556
45746 2206354
62002 3884863
13551 311880
7491 165362
26627 1038831
39717 2113503
48787 3538611
61266 907658
36279 984467
63362 1656759
31948 277624
1873 143057
891 8564
54481 3304291
36252 1562209
10234 174923
19993 118844
54291 866155
19266 991916
36317 2700316
1867 96120
31725 2498034
63317 328505
44119 1109771
64116 1077630
23858 158329
28213 70831
28238 107035
51716 1132916
23535 709140
26979 1980223
7092 228766
7213 27295
41540 123980
940 47445
58722 4082989
51361 3722360
5832 106168
14948 789612
40502 1134484
50447 2789218
51197 1068330
15132 1004762
44924 135518
29163 1251262
32942 294080
45638 1679341
35222 764793
57751 4207013
28714 1522303
37273 1157194
6041 365305
59891 1041733
4252 131031
58350 4416448
17901 555052
42670 2817280
3782 108575
39111 815184
51035 3264880
55553 1864415
30267 1993027
30388 1176741
20782 970995
57512 1120934
65123 4747461
31938 1622773
25911 1100182
56089 2834763
56326 3580636
58224 3789461
39219 2260000
7365 239767
64911 2175938
42980 1855281
21949 504393
7691 234408
41875 1259395
63906 4151661
42279 2773176
16652 32129
53842 2770827
61610 3719857
3010 158975
42439 2122302
44779 2142827
35963 421037
27355 1959704
18407 1233232
49223 3015790
16658 452002
23896 647305
30944 1812820
60594 1496573
40758 28262
7148 282541
58834 3163858
11913 296599
27755 1983237
7094 319456
13717 14506
31022 1551462
44942 1184631
50730 1297250
11254 853742
43593 2262368
8700 573229
11722 328735
59282 428553
4945 211098
16277 480213
20715 1167754
37325 536608
38300 1413724
59288 654172
56990 4320021
10012 390329
14254 671516
44812 1672287
11280 460468
44080 1038609
726 24465
30154 828214
38437 2801361
15100 83450
16301 848446
49499 160593
1953 21242
29264 845896
57131 1912583
9544 66286
29286 120825
6084 45633
21682 203622
21819 1274501
22087 481306
