N TIME
726 1344
30154 35515
38437 120509
15100 4053
16301 36007
49499 7520
1953 1360
29264 36968
57131 83101
9544 3207
29286 5629
6084 2428
21682 9308
21819 55656
22087 21554
15595 3970
30569 37824
24891 69586
50835 84463
10570 4052
30318 3964
27039 16525
62532 60539
39595 73476
58160 127656
42557 93918
64309 104631
20718 38173
51771 54274
42513 100820
5654 3644
28274 7967
46654 52059
7293 5187
25765 5820
45491 94253
40137 35891
57243 68974
36514 88671
45802 23790
49195 104214
47966 133793
15230 8543
46638 108118
45936 109447
5410 9592
5394 6632
28580 95207
32056 21349
8101 20853
48849 165256
60648 7150
40493 72957
12145 17813
59889 170143
15730 49287
3244 8443
25859 13079
13303 28196
56779 143692
60915 153197
54269 133826
59920 140233
60426 60816
31399 23199
778 2185
10211 8247
27808 86259
16734 45529
59609 106640
19124 80657
50892 124196
45175 32816
11782 11931
53892 83270
24439 49491
26563 88073
13965 5160
42947 61011
49655 84754
57791 86121
3342 4734
64193 175867
7544 4628
2455 7503
37845 23666
39364 149620
28422 40387
45753 18348
46953 86213
29073 90493
48353 5615
48632 155086
30790 46542
4915 12084
14584 17832
61398 64720
44724 135194
31492 74212
14432 11950
58182 71880
51382 9585
44605 90011
28243 15146
57445 56220
4754 2117
31281 3473
34763 116293
19050 38617
57429 21478
49143 89338
11986 9100
20973 27896
47755 139103
17916 20362
15368 35095
50784 144650
56702 1167
44212 69051
13360 2419
29961 32656
43824 50217
22698 1783
50138 125960
15719 12831
24108 47194
35769 43928
15819 47164
5151 8309
49927 11826
27788 86738
26068 33982
13412 39520
30609 26137
63239 214848
60416 153217
64993 55409
31472 28241
31351 92011
26378 15183
46109 15408
39454 8567
15210 30158
8151 12007
16160 27746
34765 97430
45737 30868
27109 57895
45332 103253
27649 7477
33618 61219
16182 3616
45807 74745
31801 1866
64766 47507
23486 6578
28266 32257
35361 88801
8355 17198
2120 1920
2644 1216
47797 159643
26714 39130
40784 72062
47773 12097
42981 58551
35050 69806
491 1589
54763 61859
54789 154412
27150 4697
3957 10846
29498 91672
54012 154507
26192 3080
29050 80068
39746 117236
8925 26469
60997 4562
34419 82562
21304 70070
30377 22350
15693 31075
27928 85932
23881 52084
51274 112472
44566 25480
63462 17942
37529 61637
48478 85758
25611 41801
26116 69462
23032 76714
22338 68423
61614 43649
25441 74589
18202 18565
37159 71347
44797 71335
5671 10759
19628 19310
7314 6984
40242 94061
63416 33638
4727 6634
31629 29142
46382 73826
21502 44812
33088 79428
25160 9927
22355 64088
23161 33582
59807 81613
36161 45481
31636 102667
47921 38994
48881 28615
43423 111268
25153 4740
33977 46869
4491 9928
405 399
47361 116199
48259 8630
34704 60405
57212 106016
55841 65209
49331 110475
10516 23093
36704 61236
63933 86278
50190 57538
7348 425
65373 24037
44652 91460
42267 88936
45794 8691
39655 30632
52256 115798
40917 43699
20412 2040
34518 116909
52816 100737
20952 32186
38717 112128
59948 92630
61108 157533
5584 8544
61345 84016
40141 97144
30517 82189
31421 7533
44469 141454
53262 108237
26242 9198
39041 10138
9937 30526
46793 67130
55450 155411
39614 130766
51550 117777
10040 4731
6387 14026
46901 116727
37221 104653
3799 8739
43456 87864
31893 28727
35307 72141
61838 142633
58550 41881
32526 56701
10973 8486
10957 26056
29068 36274
7716 13157
63375 62199
48000 150272
41831 138413
63468 211842
22297 20508
29031 86264
29469 59919
57202 10968
53035 111967
22364 18571
36213 74139
33056 82077
33955 44556
45743 65902
57193 32888
24057 42001
19724 10830
13367 29650
35312 5304
7740 18070
17352 34736
44847 117090
57578 169797
27947 4647
40803 79240
36425 61936
37026 86368
15718 27106
14196 5206
50564 147600
22998 30876
32738 96649
62152 172044
19381 48504
3555 7278
47463 15473
27219 42527
59763 124741
57258 132385
9728 23966
16328 23365
28297 88715
33344 99653
54738 137559
52701 102441
32476 90592
40878 25030
40862 107157
41808 108407
24503 82886
61084 26924
36446 35850
15161 46648
15130 9546
49658 95273
32289 96841
628 1204
52295 64441
24185 24843
10829 25511
57947 15704
62892 141093
22853 39388
33912 61618
36478 31139
25771 18683
57999 21785
25178 15110
34946 84734
36454 109728
53735 13454
44687 79337
62156 37973
40067 130265
23138 36024
90 225
55769 68124
14397 9741
65140 69135
1095 1049
33308 2472
46450 8400
47720 11186
56277 27754
29652 70806
35241 78024
57457 120775
12919 21778
3660 10289
13518 45686
48784 107206
41294 47834
37393 56975
58917 99555
18372 20984
8685 11932
31769 26849
13553 25769
51121 148889
42009 84582
43269 841
25914 13382
53236 119427
35234 99994
48843 63058
16150 41936
27210 8085
23671 48936
47607 83995
12172 4639
50839 62092
23606 23636
162 510
12982 35503
32809 48173
25023 83545
3036 8924
36072 59952
39475 39358
28797 14896
23534 4182
16183 22302
16212 20714
40971 120833
40247 48749
56544 13580
14646 10614
12159 15988
16092 43305
22407 23860
1996 4804
19229 14795
44240 109886
20503 23680
10658 29424
43208 67307
30559 88271
3907 5280
30643 13079
10620 35844
6747 17301
9076 22148
49244 130221
16081 3230
13151 680
55842 89838
60956 22777
22991 52906
64999 136038
36617 111148
847 2492
44340 141485
52448 164150
11438 6667
32519 26310
25894 52305
61414 157125
56632 104595
16510 31510
29435 260
533 1623
38977 103667
8137 20644
56313 113336
46346 20488
63920 27156
8672 2266
64491 172229
35138 99943
32729 60468
59138 9595
54448 121962
54819 52635
52869 80200
18518 44860
23484 41337
61551 96154
43494 60147
21394 53698
45778 137801
3125 3427
53030 26337
60371 50975
30078 19409
65257 11733
63206 154266
53856 35853
23541 27493
35861 63792
22759 34016
62001 46777
11362 6477
11245 36789
41031 97176
13741 9213
48805 111507
53231 162485
4877 3156
19476 54933
40428 114836
12083 8114
63592 34180
18381 49132
59648 43651
6149 7664
50408 158683
25736 80175
10223 30937
5940 7222
28725 45507
44024 134030
11435 5125
44510 40114
50384 110098
55602 24129
36678 19188
4452 10202
9143 13457
5064 8483
8243 6917
239 208
41842 136956
27519 33611
63963 115616
12936 18229
11547 33175
64555 187149
5033 11762
27705 66172
1888 1404
40711 127089
65123 5009
34998 63548
18882 36906
5602 3916
23489 23769
51118 735
39557 87041
13384 7288
44780 64599
6119 10192
29214 38984
25112 3658
46419 38758
60825 97073
64211 137248
46021 100231
47875 45607
60489 166339
41494 132405
54136 91679
31023 73806
4287 3075
20499 59521
61234 112889
58477 176821
45262 79123
50876 121800
1759 3133
28824 40656
10835 27908
27417 25138
60562 185278
29875 34079
64767 126768
64028 104024
5626 9001
43944 75908
24159 3969
33449 106614
65189 9179
49246 109928
7229 16150
13460 14749
45448 57356
36697 77356
28071 3804
3371 162
36459 3064
25819 13411
3941 9664
45105 33687
38850 46475
15246 20328
34240 74705
39909 79800
59915 90315
24908 23709
62969 41359
32922 52467
36869 67321
60108 115330
53406 55244
30520 45110
41756 87567
11745 25899
63790 85935
46164 7943
14887 29523
16907 12604
49 252
62358 116392
7986 4348
44218 48640
1029 429
34555 93241
63103 122050
61208 113627
18084 53925
44922 105868
47707 46264
14687 1717
11582 19963
50096 53425
29383 96064
15265 26326
13293 42611
13624 20531
25223 42446
19361 57697
63406 97543
44775 133864
2415 5735
9159 6895
63660 196066
2193 1648
15995 41407
31100 99228
18643 46475
8527 20672
34982 3936
45102 117048
19218 4588
2191 3634
22273 4487
14260 12706
27321 86660
47446 10136
1935 5578
16014 14313
31899 60159
25337 8467
33731 98326
31563 35318
44391 3355
51365 96630
30356 53723
24890 51559
28920 28535
24781 29872
3575 10620
17547 56112
49279 31427
17231 39079
32234 72460
11537 24505
58715 160080
51152 14386
51252 84795
29634 22890
28316 36415
42605 123276
28061 78379
34250 10030
14633 34793
62646 110880
41567 79342
28502 43740
47459 78582
39379 29049
10174 20856
35807 30419
27188 20611
24046 60196
7351 4518
10435 12473
25285 32388
4901 10301
32095 91869
27633 66214
17061 16899
32125 42421
15658 9160
22671 62030
34982 81639
53367 114606
13454 2607
57668 105630
63285 164363
17878 13943
35451 103406
52013 21877
13133 21558
60129 145550
45557 68680
25110 77146
43597 39224
59109 149727
25603 4881
28246 46838
20367 30558
33244 48362
19247 1713
43054 90708
1020 3323
54762 51465
18493 9775
58171 26872
24273 79188
35367 112251
19627 39864
3224 4576
36499 68901
30983 6480
61873 57218
32027 79423
8960 21118
40136 50578
65521 166419
1736 3022
29801 6928
25933 88005
43791 123078
46878 106153
40332 100302
63854 49982
63803 110286
6033 16402
50562 159471
13469 4230
63858 95334
56034 25703
16388 43710
62293 172844
25076 23349
35880 22085
6729 22766
342 1219
47086 3792
33032 60319
60317 34351
36611 110318
11752 6464
34166 23472
64207 54473
48099 55088
8459 18732
50611 11931
25751 1768
20864 42214
54023 97988
58398 6931
9627 25572
42565 13843
19308 38215
15901 45407
36184 13318
20026 6941
44136 25695
35667 33795
28728 34104
46229 54045
44035 32466
12851 11430
41987 16482
53817 74656
47854 111689
19285 41667
33368 96588
20741 32047
22463 48829
18946 42907
14224 6277
50139 29032
59595 71364
13344 10251
34448 35527
8596 20267
9253 29137
38994 78661
52353 40445
13759 21686
12470 18182
10772 15095
19661 59943
12982 873
17504 35042
23021 38632
14989 31794
55346 551
25885 81327
62380 123738
61962 205376
12264 5105
3948 6725
18464 22149
6979 7544
12381 22235
39638 10684
62398 175102
30348 4737
26376 47678
39865 38632
5364 3025
47742 55312
27333 47989
30308 24861
22004 62537
24418 74953
60968 200694
64474 182029
37189 27727
34186 60570
47167 40954
20842 64516
41678 47682
59382 96130
33080 89198
59165 140346
16075 34737
13126 1854
3772 6321
4177 8942
26464 49997
34546 20141
60968 12831
14272 42680
53479 55276
64955 43601
32826 5696
22633 3725
29618 87592
35356 78882
24164 77885
2855 8580
63597 92646
56963 12645
48810 139613
26704 4512
54211 169201
31176 73941
8429 16828
59754 59309
11572 9099
59803 18627
8303 11199
543 374
58531 163571
34661 112227
34674 113053
53279 27670
17180 21125
2968 7257
41414 48267
52388 161099
14444 32931
63441 184867
29081 29148
50187 135289
21709 69303
17695 57622
57735 179465
23807 2607
16668 19476
58875 52229
43769 74437
4416 12759
62721 131094
10041 6510
34216 48111
60729 59116
31865 18708
45546 47101
6642 9803
21243 38656
2347 5559
12317 16932
52859 78321
62401 78026
27415 18934
31474 94541
26319 87246
63191 107486
809 1202
1121 1340
36260 94605
17520 16632
33845 94434
34176 58208
17785 35916
24597 47217
27209 24497
5913 13954
48277 56834
25013 17799
7441 4987
21436 69467
42356 10080
3299 5280
17089 41068
59296 124159
41261 51567
63623 62869
32328 12691
18415 32908
29462 34961
21630 1434
63607 20502
12621 34201
38236 2962
61841 194055
60236 147832
32344 42846
45344 48808
5509 17216
25484 81533
41790 52859
56125 144606
41899 52197
52807 90135
29143 87182
27068 15658
19911 18884
47471 99039
34164 39022
59421 155613
17871 16944
21182 31600
8207 13483
29951 19838
11295 25294
64276 133078
2472 8210
7439 3789
63268 126284
45099 38710
62817 148198
23406 69058
58895 191438
41551 77592
55465 36012
20533 63887
13967 32704
59265 12791
45905 130280
23006 29532
22630 28434
9349 23746
10576 8765
43461 139339
4218 10528
62311 92028
22287 69521
4274 1411
58654 103392
52811 6635
63840 171058
35712 103377
46986 105283
22988 789
65438 106197
48503 104675
60127 7925
37990 25092
61129 13189
880 557
7975 12450
22013 34224
4917 14652
61275 50137
56523 20419
661 267
25618 47750
64743 175406
35764 109809
36481 14363
32584 31718
49209 110182
28039 85620
11044 34785
60199 16496
59801 55805
51384 111342
27025 10784
15183 30714
8138 25735
48614 84372
38541 11188
247 373
51741 82502
62184 14035
19078 63520
31123 21293
62426 129169
58399 113831
2329 1287
53591 187424
8872 6468
15147 39879
37433 107207
23731 4866
31628 36190
45733 27751
12580 5450
7392 5514
36558 41075
52961 92046
2174 1066
14481 2407
2564 5576
26936 50827
61854 208393
18036 32118
20004 32200
55146 64021
1538 387
59543 95824
18048 20535
65017 58319
7074 4041
58847 62598
59252 130644
29063 5012
12484 35471
35772 42669
63780 58129
20741 18484
55226 53209
19661 5360
18628 27326
62059 63612
54748 108624
2136 6364
56567 38472
24964 79239
30608 44283
3414 11149
47700 155915
61988 18562
40368 44017
15775 21386
29250 11552
38212 108968
36272 73129
19120 4420
22742 57806
21109 37424
16626 49767
12378 19340
56496 88077
22837 3074
